Commodity_Classification,Commodity,Classification,County,Market,Date,Year,Month,Year_Month,WeekofYear,Year_Week,SupplyVolume,Retail,Wholesale,Unit
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Wangige_Market,2021-05-24,2021,5,2021-05,21,2021-21,9000.0,40.0,30.0,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Limuru_Rongai_Market,2021-05-24,2021,5,2021-05,21,2021-21,7200.0,40.0,28.89,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Limuru_Rongai_Market,2021-05-24,2021,5,2021-05,21,2021-21,45000.0,35.0,30.0,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Wangige_Market,2021-05-24,2021,5,2021-05,21,2021-21,18000.0,45.0,20.0,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Wangige_Market,2021-05-24,2021,5,2021-05,21,2021-21,4000.0,50.0,32.22,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Wangige_Market,2021-05-24,2021,5,2021-05,21,2021-21,3700.0,45.0,31.11,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Wangige_Market,2021-05-24,2021,5,2021-05,21,2021-21,4500.0,40.0,31.11,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Wangige_Market,2021-05-24,2021,5,2021-05,21,2021-21,5600.0,40.0,31.11,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Wangige_Market,2021-05-24,2021,5,2021-05,21,2021-21,4500.0,40.0,30.0,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Wangige_Market,2021-05-24,2021,5,2021-05,21,2021-21,4500.0,40.0,31.11,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Wangige_Market,2021-05-24,2021,5,2021-05,21,2021-21,6000.0,40.0,30.0,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Limuru_Rongai_Market,2021-05-24,2021,5,2021-05,21,2021-21,20000.0,40.0,30.0,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Wangige_Market,2021-05-24,2021,5,2021-05,21,2021-21,6200.0,40.0,28.89,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Limuru_Rongai_Market,2021-05-24,2021,5,2021-05,21,2021-21,18000.0,40.0,30.0,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Limuru_Rongai_Market,2021-05-24,2021,5,2021-05,21,2021-21,20000.0,40.0,30.0,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Madaraka_Market,2021-05-24,2021,5,2021-05,21,2021-21,900.0,30.0,28.89,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Madaraka_Market,2021-05-24,2021,5,2021-05,21,2021-21,1800.0,33.33,30.0,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Wangige_Market,2021-05-24,2021,5,2021-05,21,2021-21,5000.0,40.0,31.11,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Limuru_Rongai_Market,2021-05-24,2021,5,2021-05,21,2021-21,21000.0,40.0,30.0,Kg
Dry_White_Maize,Dry_Maize,White_Maize,Kiambu,Wangige_Market,2021-05-24,2021,5,2021-05,21,2021-21,4500.0,40.0,30.0,Kg
