County,Date,Agri_WholeSale,Commodity_Classification,Year_Week,Week_of_Year,Market,Year,Month,Year_Month,Supply_Volume,Retail_Price,Kamis_WholeSale,Unit
Kirinyaga,2023-10-03,48.89,Dry_White_Maize,2023-40,40,Ngurubani_Market,2023,10,2023-10,6000.0,60.0,44.44,Kg
Kirinyaga,2023-10-03,48.89,Dry_White_Maize,2023-40,40,Makutano_Kirinyaga_Market,2023,10,2023-10,4500.0,60.0,40.0,Kg
Kirinyaga,2023-10-03,48.89,Dry_White_Maize,2023-40,40,Kagio_Market,2023,10,2023-10,5500.0,60.0,50.0,Kg
Kirinyaga,2023-10-03,48.89,Dry_White_Maize,2023-40,40,Ngurubani_Market,2023,10,2023-10,6000.0,60.0,44.44,Kg
Kirinyaga,2023-10-03,48.89,Dry_White_Maize,2023-40,40,Makutano_Kirinyaga_Market,2023,10,2023-10,5000.0,60.0,40.0,Kg
Kirinyaga,2023-10-19,45.56,Dry_White_Maize,2023-42,42,Kerugoya_Market,2023,10,2023-10,4000.0,90.0,70.0,Kg
Kirinyaga,2023-10-19,45.56,Dry_White_Maize,2023-42,42,Ngurubani_Market,2023,10,2023-10,3500.0,60.0,44.44,Kg
Kirinyaga,2023-10-19,45.56,Dry_White_Maize,2023-42,42,Makutano_Kirinyaga_Market,2023,10,2023-10,5000.0,60.0,40.0,Kg
Kirinyaga,2023-10-30,41.11,Dry_White_Maize,2023-44,44,Kerugoya_Market,2023,10,2023-10,4500.0,60.0,45.0,Kg
Kirinyaga,2023-10-30,41.11,Dry_White_Maize,2023-44,44,Kutus_Market,2023,10,2023-10,3600.0,50.0,46.67,Kg
Kirinyaga,2023-10-30,41.11,Dry_White_Maize,2023-44,44,Ngurubani_Market,2023,10,2023-10,4500.0,70.0,44.44,Kg
Kirinyaga,2023-10-30,41.11,Dry_White_Maize,2023-44,44,Makutano_Kirinyaga_Market,2023,11,2023-11,5000.0,60.0,40.0,Kg
Kirinyaga,2023-10-30,41.11,Dry_White_Maize,2023-44,44,Kerugoya_Market,2023,11,2023-11,4500.0,60.0,50.0,Kg
Kirinyaga,2023-10-30,41.11,Dry_White_Maize,2023-44,44,Kutus_Market,2023,11,2023-11,0.0,60.0,52.22,Kg
Kirinyaga,2023-10-30,41.11,Dry_White_Maize,2023-44,44,Ngurubani_Market,2023,11,2023-11,5000.0,60.0,44.44,Kg
Kirinyaga,2023-10-31,41.11,Dry_White_Maize,2023-44,44,Kerugoya_Market,2023,10,2023-10,4500.0,60.0,45.0,Kg
Kirinyaga,2023-10-31,41.11,Dry_White_Maize,2023-44,44,Kutus_Market,2023,10,2023-10,3600.0,50.0,46.67,Kg
Kirinyaga,2023-10-31,41.11,Dry_White_Maize,2023-44,44,Ngurubani_Market,2023,10,2023-10,4500.0,70.0,44.44,Kg
Kirinyaga,2023-10-31,41.11,Dry_White_Maize,2023-44,44,Makutano_Kirinyaga_Market,2023,11,2023-11,5000.0,60.0,40.0,Kg
Kirinyaga,2023-10-31,41.11,Dry_White_Maize,2023-44,44,Kerugoya_Market,2023,11,2023-11,4500.0,60.0,50.0,Kg
Kirinyaga,2023-10-31,41.11,Dry_White_Maize,2023-44,44,Kutus_Market,2023,11,2023-11,0.0,60.0,52.22,Kg
Kirinyaga,2023-10-31,41.11,Dry_White_Maize,2023-44,44,Ngurubani_Market,2023,11,2023-11,5000.0,60.0,44.44,Kg
Kirinyaga,2023-11-03,43.89,Dry_White_Maize,2023-44,44,Kerugoya_Market,2023,10,2023-10,4500.0,60.0,45.0,Kg
Kirinyaga,2023-11-03,43.89,Dry_White_Maize,2023-44,44,Kutus_Market,2023,10,2023-10,3600.0,50.0,46.67,Kg
Kirinyaga,2023-11-03,43.89,Dry_White_Maize,2023-44,44,Ngurubani_Market,2023,10,2023-10,4500.0,70.0,44.44,Kg
